City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,talnakh,69.4865,88.3972,1.81,95,100,14.9,RU,1731785385
84,tazacorte,28.629,-17.9293,65.37,95,75,11.5,ES,1731785386
85,uturoa,-16.7333,-151.4333,78.73,81,78,11.18,PF,1731785387
86,barra de santo antonio,-9.4047,-35.5072,79.86,70,89,12.03,BR,1731785389
87,inongo,-1.95,18.2667,73.47,83,39,5.19,CD,1731785390
88,port elizabeth,-33.918,25.5701,65.32,92,20,10.36,ZA,1731785391
89,khujand,40.2853,69.6279,40.28,100,100,13.42,TJ,1731785392
90,papatowai,-46.5619,169.4708,47.39,60,79,4.56,NZ,1731785395
91,svetlyy,54.675,20.1347,46.44,74,100,20.67,RU,1731785396
92,bandarbeyla,9.4942,50.8122,79.25,82,100,15.95,SO,1731785398
93,hauterive,46.0901,3.4459,41.41,74,4,3.2,FR,1731785400
94,bangar,16.8936,120.4243,76.14,83,100,3.98,PH,1731785402
95,san antonio de pale,-1.4014,5.6325,78.96,84,88,8.81,GQ,1731785403
96,moree,-29.4667,149.85,70.11,70,9,17.67,AU,1731785404
97,verkhnevilyuysk,63.4453,120.3167,-21.33,100,95,3.2,RU,1731785405
98,merzifon,40.8733,35.4631,42.26,87,75,13.8,TR,1731785407
99,faya-largeau,17.9257,19.1043,73.8,23,0,16.87,TD,1731785408
100,neryungri,56.6709,124.6491,-7.6,97,100,6.76,RU,1731785409
101,nabire,-3.3667,135.4833,75.88,92,53,3.18,ID,1731785411
102,dryden,49.7833,-92.7503,44.89,76,100,13.8,CA,1731785412
103,dakhla,23.6848,-15.958,66.22,100,40,5.75,EH,1731785413
104,vadso,70.0744,29.7487,37.56,93,75,19.57,NO,1731785414
105,al mindak,20.1588,41.2834,59.41,84,43,2.21,SA,1731785416
106,dudinka,69.4058,86.1778,6.04,94,100,15.82,RU,1731785417
107,yaren,-0.5472,166.916,80.83,69,87,7.0,NR,1731785418
108,talara,-4.5772,-81.2719,77.76,57,0,13.8,PE,1731785419
109,punta cana,18.5818,-68.4043,82.17,78,40,6.91,DO,1731785421
110,arno,60.1167,18.6333,41.56,63,3,23.53,SE,1731785422
111,mindelo,16.8901,-24.9804,78.35,61,20,16.11,CV,1731785423
112,atafu village,-8.5421,-172.5159,81.34,72,96,0.96,TK,1731785425
113,tongliao,43.6125,122.2653,22.15,34,0,6.15,CN,1731785426
114,fruitland,38.3221,-75.6202,62.65,55,0,17.27,US,1731785427
115,hawaiian paradise park,19.5933,-154.9731,78.31,87,20,5.75,US,1731785276
116,pandan,14.0453,124.1694,76.96,90,100,42.81,PH,1731785430
117,pindi gheb,33.2402,72.2661,63.91,48,0,3.78,PK,1731785431
118,laukaa,58.7372,29.8453,47.28,84,100,15.39,RU,1731785432
119,lindisfarne,-42.8333,147.35,64.2,77,100,8.05,AU,1731785433
120,sao joao da barra,-21.6403,-41.0511,80.69,83,100,12.37,BR,1731785435
121,katabu,-4.9333,122.5167,75.74,94,100,2.77,ID,1731785436
122,nemuro,43.3236,145.575,54.54,75,93,29.8,JP,1731785437
123,murakami,38.2333,139.4833,55.47,88,44,6.96,JP,1731785438
124,vorgashor,67.5833,63.95,21.13,97,100,2.91,RU,1731785440
125,cabo san lucas,22.8909,-109.9124,84.51,42,75,3.44,MX,1731785441
126,dongcun,36.7767,121.1597,45.43,59,100,13.31,CN,1731785442
127,crane,31.3974,-102.3501,81.43,26,99,13.69,US,1731785444
128,mhamid,29.82,-5.72,70.56,25,0,10.11,MA,1731785445
129,uglegorsk,49.0833,142.0333,35.85,98,100,6.08,RU,1731785446
130,nadi,-17.8,177.4167,78.8,69,40,0.0,FJ,1731785447
131,imbituba,-28.24,-48.6703,72.54,86,11,16.69,BR,1731785449
132,georgetown,5.4112,100.3354,78.73,88,20,2.3,MY,1731785450
133,gadzhiyevo,69.2551,33.3362,32.7,74,100,13.15,RU,1731785451
134,thompson,55.7435,-97.8558,26.76,93,100,3.44,CA,1731785452
135,east london,-33.0153,27.9116,68.23,84,42,8.5,ZA,1731785454
136,marat,25.0701,45.4615,68.68,27,0,10.4,SA,1731785455
137,kitimat,54.0524,-128.6534,39.9,29,100,5.01,CA,1731785456
138,annan,54.9884,-3.2565,43.39,73,57,10.49,GB,1731785457
139,leander,30.5788,-97.8531,80.4,53,97,8.99,US,1731785459
140,fortuna,40.5982,-124.1573,50.94,77,100,1.01,US,1731785460
141,qandala,11.472,49.8728,78.75,81,19,3.18,SO,1731785461
142,auray,47.6703,-2.9918,43.77,90,67,3.56,FR,1731785463
143,zhosaly,45.4878,64.0781,35.8,53,39,7.29,KZ,1731785464
144,marion,39.7684,-86.1555,55.78,66,40,12.66,US,1731785465
145,punta de bombon,-17.1717,-71.7931,68.52,77,85,9.1,PE,1731785466
146,gereida,11.2811,25.1414,80.42,28,90,8.97,SD,1731785468
147,ribeira grande,38.5167,-28.7,65.77,68,20,15.01,PT,1731785469
148,tiassale,5.8983,-4.8283,76.44,90,19,2.35,CI,1731785470
149,quzhou,28.9594,118.8686,66.63,94,89,5.53,CN,1731785471
150,itoman,26.1247,127.6694,77.02,94,75,4.61,JP,1731785473
151,sofifi,0.7349,127.576,80.06,79,100,3.36,ID,1731785474
152,urussu,54.5981,53.4631,32.56,86,100,14.2,RU,1731785475
153,vernon,50.2581,-119.2691,36.45,86,100,1.14,CA,1731785477
154,indiana,40.0003,-86.2503,55.65,67,40,11.5,US,1731785191
155,punta arenas,-53.15,-70.9167,46.51,49,40,32.21,CL,1731785479
156,tumayr,25.7039,45.868,69.85,25,0,7.0,SA,1731785480
157,kone,-21.0595,164.8658,77.36,77,36,2.24,NC,1731785482
158,madera,37.1666,-119.8343,56.01,62,4,4.74,US,1731785483
159,kathu,7.9178,98.3332,85.69,86,98,8.99,TH,1731785484
160,launceston,-41.45,147.1667,60.44,88,100,9.22,AU,1731785411
161,tilisarao,-32.7329,-65.2911,80.64,32,52,21.16,AR,1731785487
162,constantia,44.1833,28.65,34.48,63,6,4.16,RO,1731785488
163,greymouth,-42.4667,171.2,52.41,56,8,5.53,NZ,1731785489
164,nyurba,63.2842,118.3319,-24.95,100,93,4.36,RU,1731785491
165,port said,31.2565,32.2841,71.58,73,0,4.61,EG,1731785492
166,putina,-15.4667,-69.4333,57.11,54,88,8.86,PE,1731785493
167,al jawf,29.5,38.75,64.26,42,0,8.21,SA,1731785494
168,nieuw amsterdam,5.8833,-55.0833,86.02,74,40,5.75,SR,1731785496
169,kolwezi,-10.7148,25.4667,62.56,92,100,1.92,CD,1731785497
170,leiyang,26.4024,112.8591,66.31,80,94,10.13,CN,1731785499
171,roma,43.2128,-75.4557,52.38,43,0,14.97,US,1731785500
172,berdigestyakh,62.0989,126.6992,-9.24,100,99,2.57,RU,1731785501
173,petropavlovsk-kamchatsky,53.0452,158.6483,5.59,61,0,11.18,RU,1731785374
174,tabas,33.5959,56.9244,57.42,35,0,4.61,IR,1731785504
175,randalstown,54.75,-6.3,44.94,81,20,12.66,GB,1731785505
176,tazovsky,67.4667,78.7,24.51,96,100,11.18,RU,1731785506
177,jamestown,42.097,-79.2353,46.02,83,100,8.05,US,1731785508
178,praia da vitoria,38.7333,-27.0667,64.65,72,40,23.64,PT,1731785509
179,marang,5.2056,103.2059,76.93,86,100,2.48,MY,1731785510
180,moussoro,13.6408,16.4901,79.12,12,29,15.79,TD,1731785511
181,tobol,52.6844,62.5794,31.23,92,100,12.19,KZ,1731785513
182,as sulayyil,20.4607,45.5779,69.53,36,0,6.89,SA,1731785514
183,magadan,59.5667,150.8,18.03,94,100,15.55,RU,1731785515
184,khandyga,62.6667,135.6,-13.29,100,95,1.88,RU,1731785516
185,kingston,17.997,-76.7936,81.55,83,75,8.05,JM,1731785324
186,emerald,-23.5333,148.1667,69.35,97,40,13.69,AU,1731785519
187,tekkali,18.6167,84.2333,67.82,79,95,4.68,IN,1731785520
188,biscarrosse,44.3945,-1.1672,46.35,93,100,0.0,FR,1731785522
189,nar'yan-mar,67.6713,53.087,11.89,99,85,5.39,RU,1731785523
190,cloverdale,38.8055,-123.0172,55.17,57,99,5.01,US,1731785524
191,egilsstadir,65.2653,-14.3948,26.51,93,100,10.36,IS,1731785525
192,sergeyevka,53.88,67.4158,29.73,94,100,14.5,KZ,1731785527
193,susuman,62.7833,148.1667,-18.92,100,92,1.97,RU,1731785528
194,dhidhdhoo,6.8833,73.1,82.69,74,25,6.53,MV,1731785531
195,afaahiti,-17.75,-149.2833,76.1,84,95,11.32,PF,1731785532
196,constitucion,-35.3333,-72.4167,61.0,58,0,21.79,CL,1731785533
